CPF_CNPJ,NOME_CLIENTE,RISCO_CLIENTE,NUMERO_CONTRATO,RISCO_CONTRATO,VALOR_CCONTRATO
89.470.215/0001-80,Vitor Gabriel da Conceição,Médio,1340836035,Médio,246.03
89.470.215/0001-80,Vitor Gabriel da Conceição,Médio,5196743117,Médio,120.46
506.941.378-39,Kamilly da Cunha,Alto,8603568933,Alto,301.75
506.941.378-39,Kamilly da Cunha,Alto,3682485400,Médio,490.89
506.941.378-39,Kamilly da Cunha,Alto,1069095185,Médio,132.14
715.296.483-19,Cauê Teixeira,Médio,8844983273,Médio,376.28
715.296.483-19,Cauê Teixeira,Médio,6830126999,Médio,412.73
715.296.483-19,Cauê Teixeira,Médio,4297683493,Baixo,97.24
631.874.092-96,Alana da Luz,Alto,4993879991,Baixo,303.81
631.874.092-96,Alana da Luz,Alto,2002216586,Baixo,155.34
631.874.092-96,Alana da Luz,Alto,6500578135,Alto,439.26
462.897.510-85,Davi Vieira,Alto,1556365452,Alto,219.89
462.897.510-85,Davi Vieira,Alto,4536480196,Baixo,95.23
462.897.510-85,Davi Vieira,Alto,8150112119,Alto,344.67
561.483.290-42,Dra. Alexia Jesus,Médio,6600825482,Baixo,177.49
561.483.290-42,Dra. Alexia Jesus,Médio,1897754008,Médio,268.34
561.483.290-42,Dra. Alexia Jesus,Médio,5937996373,Médio,392.15
16.094.387/0001-22,Maria Eduarda Correia,Alto,6995675434,Médio,185.47
16.094.387/0001-22,Maria Eduarda Correia,Alto,9607678085,Alto,125.69
16.094.387/0001-22,Maria Eduarda Correia,Alto,7570539490,Médio,415.63
641.098.532-06,Sr. Pietro da Conceição,Alto,6583801794,Baixo,273.45
641.098.532-06,Sr. Pietro da Conceição,Alto,7314996197,Alto,95.18
641.098.532-06,Sr. Pietro da Conceição,Alto,9859370106,Baixo,469.87
472.536.081-35,Luiz Henrique Viana,Alto,2331195667,Baixo,110.76
472.536.081-35,Luiz Henrique Viana,Alto,1642233032,Alto,345.43
472.536.081-35,Luiz Henrique Viana,Alto,8768758817,Baixo,489.12
98.453.706/0001-03,Rebeca Rodrigues,Alto,6731470956,Baixo,202.35
98.453.706/0001-03,Rebeca Rodrigues,Alto,6513091972,Baixo,416.52
98.453.706/0001-03,Rebeca Rodrigues,Alto,4686078890,Alto,256.91
49.580.276/0001-85,Pedro Henrique Moura,Alto,7746368189,Baixo,478.26
49.580.276/0001-85,Pedro Henrique Moura,Alto,1670345699,Baixo,188.44
49.580.276/0001-85,Pedro Henrique Moura,Alto,3500676366,Alto,468.39
